<<<<<<< HEAD
<<<<<<< HEAD
"group_1","$user.firstnameWin","$user.lastname"
"","Suresh","Raina"
"","Saurav","Ganguly"
"group_2","$user.firstnameWin","$user.lastname"
=======
"group_1","$usermac.firstnamemac","$usermac.lastname"
=======
"group_1","$user.firstnamemac","$user.lastname"
>>>>>>> branch 'master' of https://github.com/avanish326/screenmagic.git
"","Suresh","Raina"
"","Saurav","Ganguly"
<<<<<<< HEAD
"group_2","$usermac.firstnamemac","$usermac.lastname"
>>>>>>> branch 'master' of https://github.com/avanish326/screenmagic.git
=======
"group_2","$user.firstnamemac","$user.lastname"
>>>>>>> branch 'master' of https://github.com/avanish326/screenmagic.git
"","Saurav","Ganguly"
"","Sachin","Tendulkar"
